Code,Country,League_Name
ARG,Argentina,Liga Profesional de Fútbol
AUT,Austria,Austrian Bundesliga
B1,Belgium,Pro League
BRA,Brazil,Brasileirao
CHN,China,Super League
DEN,Denmark,Superliga
E0,England,Premier League
E1,England,Championship
E2,England,League One
E3,England,League Two
EC,England,National League
FIN,Finland,Veikkausliiga
F1,France,Ligue 1
F2,France,Ligue 2
D1,Germany,Bundesliga
D2,Germany,2. Bundesliga
G1,Greece,Super League 1
IRL,Ireland,League of Ireland Men's Premier
I1,Italy,Serie A
I2,Italy,Serie B
JAP,Japan,J1 League
MEX,Mexico,Liga MX
N1,Netherlands,Eredivisie
NOR,Norway,Eliteserien
POL,Poland,Ekstraklasa
P1,Portugal,Primeira Liga
ROM,Romania,Liga I
RUS,Russia,Rosískaya Futbólnaya Premier-League
SCO,Scotland,Premiership
SC1,Scotland,Championship
SC2,Scotland,League One
SC3,Scotland,League Two
SP1,Spain,La Liga
SP2,Spain,Segunda División
SWE,Sweden,Allsvenskan
SUI,Switzerland,Super League
T1,Turkey,Süper Lig
USA,United States,MLS
